id,avg_dist_transportation,avg_dist_sports,avg_dist_healthcare,avg_dist_government,avg_dist_life,avg_dist_culture,avg_dist_shopping,avg_dist_tourist,avg_dist_restaurant
120,1141.5936,1486.4418,1118.9370000000001,910.7274,1090.6415000000002,2465.4294,838.3477,1510.2226,965.9842000000001
121,1231.5585,1205.3862000000001,691.389,1204.4456,1137.6571,1990.0939999999998,504.34040000000005,1251.2906,389.1492
122,534.2664,973.3596,472.33680000000004,715.6895,499.30519999999996,2028.8744,413.3343,960.6863999999999,408.9172
123,2455.0297,4704.4885,2235.5662,2555.4707,2655.8778,4655.7998,1410.79,4252.6728,1393.9834
124,11659.9565,16014.5008,13071.4917,13835.031700000001,11757.3356,15818.522,14872.3731,13123.0579,9376.3673
125,2687.8678,2773.9163,2541.9358,2624.139,2146.0533,3430.3462,1745.1399000000001,1770.2027000000003,1725.5327000000002
126,10779.5837,10774.064900000001,10587.2518,9597.2277,10302.6773,11283.7009,9829.965400000001,11524.195222222223,9695.3625
127,1362.6010999999999,1243.0308,1065.5273,1154.1134,1457.5189,3145.4775,283.4393,2358.7407,205.9979
128,443.8463,956.7031,342.45029999999997,341.1116,503.8486,954.0732,202.916,729.5317,210.28400000000002
129,589.8289,1584.0209,1352.6618,886.2144000000001,1401.4981,3590.3474,576.6354,2369.7383,526.6360999999999
130,11072.9233,8205.6064,11131.9175,11167.0883,10072.077099999999,10152.788700000001,11162.8032,10577.8199,11335.752199999999
131,2413.9489000000003,4324.461,3033.7277000000004,2265.8689,2897.3562,7262.9553,1868.8258,5131.1618,1370.3966
132,549.8818,1196.6597,655.5011000000001,869.9778,621.3289,3601.457,709.1286,1571.5353,604.6084
133,600.0295,967.4933000000001,667.6578,235.392,582.9395999999999,7384.071099999999,404.5511,1168.1997999999999,540.3279
134,6811.503500000001,5021.2754,5014.8981,5388.4878,4203.8765,4363.2392,5219.4283000000005,5337.6246,4650.4908000000005
135,1232.3868,1949.2778000000003,1366.5483,1751.8591000000001,1765.9419999999998,2337.4303,971.4675,2216.4892,840.5276
136,1685.4801,1709.3656999999998,1675.4406999999999,1608.915,1614.231,2003.3992999999998,1589.7128,2130.0608,1609.9986000000001
137,1083.2852,742.5363,435.8933,708.1582000000001,856.3557000000001,1897.0805,676.4965,1070.0826000000002,629.1818000000001
138,2947.4519,3328.3885999999998,2874.2952,3241.0435,2679.5872,5578.4734,1572.4806,5016.012000000001,1614.9941000000001
139,1352.7386000000001,1589.9497,1584.6406,1349.1358,1102.4277,4510.5584,1415.1617,2237.8695,1158.3955
140,790.8256,276.7055,119.28099999999999,288.2298,77.15129999999999,415.8439,54.7068,733.8925,15.010499999999999
141,,,,,,,,,
142,714.1202000000001,532.3197,437.22950000000003,338.67999999999995,402.38,1568.4833,309.2445,933.6388999999999,278.8374
143,3230.8158000000003,3136.9610000000002,3121.6749,3005.7769,3092.3139,4308.4079,2874.0502,3089.2853999999998,2883.5797
144,633.6091,2939.4354,1145.6451,1357.512,1407.5863,3679.0451000000003,1170.9748,2142.5688999999998,1025.9391
145,1877.2988,2296.9092,2120.7014,1344.9924,2379.8974000000003,7405.7204,2255.2974999999997,2125.0155,2082.8956
146,1930.8466,3983.9211999999998,1388.306,1062.418222222222,1862.2705555555558,4510.863,505.30039999999997,2910.0339,881.1189
147,495.29110000000003,784.7855,415.8107,295.6829,530.29,1805.2904999999998,230.75889999999998,771.671,174.2117
